timestamp,session_id,request_id,total_time,orch_time,sub_agents_time,final_time,db_time,network_time
2026-01-27T12:56:57.073008,test-success,test-success:연세대 경영학과:1769486217,23.605,2.001,19.02,2.494,0.088,4.449
2026-01-27T12:57:47.651873,quick-test,quick-test:hi:1769486267,2.619,1.332,0.001,1.199,0.086,2.527
2026-01-27T12:59:17.062360,f96f1578-cc3e-4ee5-9a9d-6a3bca792f29,f96f1578-cc3e-4ee5-9a9d-6a3bca792f29:서울대 수시요강:1769486357,35.858,1.838,28.783,4.886,0.349,6.692
2026-01-27T13:00:01.094128,e4224c8d-e251-4bed-a349-0638537344b4,e4224c8d-e251-4bed-a349-0638537344b4:12112 대학 어디가:1769486401,11.801,2.824,4.174,4.755,0.046,7.476
2026-01-27T13:05:30.638042,detailed-timing-test,detailed-timing-test:서울대 물리학과:1769486730,31.86,2.209,26.225,3.312,0.112,5.461
2026-01-27T13:07:13.278793,3e9a29e1-33ae-4723-bb1a-88adcaf05c1c,3e9a29e1-33ae-4723-bb1a-88adcaf05c1c:경희대 모집요강:1769486833,27.521,1.835,21.746,3.849,0.09,5.622
2026-01-27T13:12:24.090527,llm-timing-test,llm-timing-test:hi:1769487144,4.028,1.537,0.0,1.162,1.329,2.696
2026-01-27T13:14:05.277231,10a9569a-b3ba-4e43-84f6-5ebe7ef1a9ba,10a9569a-b3ba-4e43-84f6-5ebe7ef1a9ba:11233 대학 추천:1769487245,17.882,2.552,10.159,5.07,0.1,7.606
2026-01-27T13:15:01.870925,error-check,error-check:테스트:1769487301,2.534,1.529,0.0,0.916,0.089,2.443
2026-01-27T13:16:18.669791,d774a282-5800-4c81-aebf-10a816033d1b,d774a282-5800-4c81-aebf-10a816033d1b:12211 대학 추천:1769487378,16.77,2.522,9.047,5.121,0.079,7.628
2026-01-27T13:17:28.821141,debug-test,debug-test:안녕:1769487448,2.753,1.266,0.0,1.166,0.321,2.429
2026-01-27T13:19:08.339047,test-123,test-123:안녕:1769487548,5.462,1.549,2.006,1.568,0.339,3.114
2026-01-27T13:20:36.077820,final-test,final-test:서울대 물리학과:1769487636,27.25,1.967,21.138,4.023,0.122,5.972
2026-01-27T14:23:17.953971,a3142559-d784-4525-8310-351c9bfda8f1,a3142559-d784-4525-8310-351c9bfda8f1:서울대 입시요강:1769491397,34.321,2.166,28.54,3.537,0.077,5.684
2026-01-27T14:24:02.299774,41424da9-c540-4c34-a2a8-376e5a04c6d6,41424da9-c540-4c34-a2a8-376e5a04c6d6:경희대 수시요강:1769491442,28.868,1.99,23.52,3.282,0.075,5.237
2026-01-27T14:28:31.318660,test-final-.1769491711,test-final-.1769491711:연세대 경영학과:1769491711,25.704,1.865,20.702,3.015,0.121,4.864
2026-01-27T14:29:03.015466,test-simple-.1769491743,test-simple-.1769491743:안녕:1769491743,2.291,1.203,0.0,0.999,0.088,2.2
2026-01-27T14:29:11.002338,test-hello-.1769491750,test-hello-.1769491750:안녕:1769491751,2.223,1.093,0.0,1.017,0.113,2.107
2026-01-27T14:30:18.148841,616497da-5be2-4e43-9ec0-a3523cbfe5b0,616497da-5be2-4e43-9ec0-a3523cbfe5b0:서울대 물리학과:1769491818,26.104,1.977,20.626,3.419,0.081,5.366
2026-01-27T14:33:08.605652,203c2f24-8e0b-439a-ad90-f594f8577238,203c2f24-8e0b-439a-ad90-f594f8577238:서울대 경영학과:1769491988,42.775,2.569,36.354,3.741,0.11,6.286
2026-01-27T14:37:33.749926,test-.1769492253,test-.1769492253:안녕:1769492253,2.446,1.299,0.0,1.047,0.099,2.342
2026-01-27T14:37:42.550242,test-.1769492262,test-.1769492262:hi:1769492262,2.355,1.211,0.0,1.062,0.082,2.272
2026-01-27T14:39:27.037178,session-1769492366190,session-1769492366190:안녕:1769492367,3.096,1.614,0.0,1.436,0.046,3.046
2026-01-27T14:40:42.990213,session-1769492442091,session-1769492442091:안녕:1769492442,6.53,2.003,3.193,1.13,0.205,3.131
2026-01-27T14:41:03.070265,session-1769492462331,session-1769492462331:안녕:1769492463,1.883,0.924,0.0,0.837,0.122,1.757
2026-01-27T14:41:52.972047,5cc82f5c-7b20-47e2-a6b7-ffee7f5458f3,5cc82f5c-7b20-47e2-a6b7-ffee7f5458f3:안ㄴ졍하세요:1769492512,3.06,1.645,0.0,1.313,0.101,2.954
2026-01-27T14:42:03.519511,656b0d58-fb04-4e59-8a14-184ba4a9c976,656b0d58-fb04-4e59-8a14-184ba4a9c976:서울대 물리학과:1769492523,36.022,1.877,32.052,1.965,0.127,3.825
2026-01-27T14:44:18.127680,session-1769492657239,session-1769492657239:서울대 물리학과:1769492658,32.542,2.064,26.794,3.244,0.439,5.291
2026-01-27T14:44:58.426439,test-debug-.1769492698,test-debug-.1769492698:서울대 물리학과:1769492698,24.851,1.511,20.024,3.165,0.15,4.646
2026-01-27T14:46:29.110329,test-final-.1769492789,test-final-.1769492789:서울대 물리학과:1769492789,34.485,1.257,29.638,2.985,0.605,4.225
2026-01-27T14:47:17.517585,test-2,test-2:안녕:1769492837,2.54,1.407,0.0,1.06,0.073,2.465
2026-01-27T14:47:25.568187,test-hello,test-hello:안녕:1769492845,2.163,1.112,0.0,0.97,0.08,2.079
2026-01-27T14:47:35.874504,test-seoul,test-seoul:서울대 물리학과:1769492855,37.857,1.069,34.103,2.535,0.149,3.58
2026-01-27T14:50:34.992498,test-final-seoul,test-final-seoul:서울대 물리학과:1769493034,33.51,1.405,28.517,3.075,0.513,4.457
2026-01-27T14:52:39.081397,test-final-fixed,test-final-fixed:서울대 물리학과:1769493159,36.262,1.209,31.566,3.382,0.104,4.56
2026-01-27T14:53:22.116071,session-1769493201218,session-1769493201218:서울대 물리학과:1769493202,30.04,1.994,25.112,2.767,0.166,4.728
2026-01-27T14:54:43.989857,b628fdfa-0674-4b25-9fa5-c44dedbc71ad,b628fdfa-0674-4b25-9fa5-c44dedbc71ad:서울대 경영학과:1769493283,22.49,1.804,17.101,3.489,0.094,5.271
2026-01-27T14:55:41.477114,b7c672ed-84d3-4a79-99b1-d072ba955ab9,b7c672ed-84d3-4a79-99b1-d072ba955ab9:12121 대학추천:1769493341,16.79,3.157,9.869,3.69,0.073,6.829
2026-01-27T14:59:35.763779,timing-test-.1769493575,timing-test-.1769493575:안녕:1769493575,3.813,1.619,0.0,1.502,0.69,3.118
2026-01-27T14:59:53.085901,timing-test-complex,timing-test-complex:서울대 물리학과:1769493593,31.57,1.609,26.361,3.49,0.11,5.073
2026-01-27T15:01:16.344067,session-1769493675478,session-1769493675478:서울대 물리학과:1769493676,30.798,2.035,25.4,3.003,0.359,5.002
2026-01-27T15:03:34.143732,3b1bd44f-3d21-4bb9-a71c-c474d51312c5,3b1bd44f-3d21-4bb9-a71c-c474d51312c5:경희대 어디 갈까?:1769493814,40.208,2.941,31.063,6.098,0.105,9.024
2026-01-27T15:05:38.881614,a7e73015-cb4c-4e97-b1bd-796b2361f7a9,a7e73015-cb4c-4e97-b1bd-796b2361f7a9:12121 대학추천:1769493938,17.146,2.574,9.27,5.223,0.078,7.786
2026-01-27T15:12:49.618804,timing-detail-test,timing-detail-test:안녕:1769494369,3.516,1.656,0.0,1.059,0.8,2.712
2026-01-27T15:13:01.171884,timing-detail-complex,timing-detail-complex:서울대 물리학과:1769494381,58.925,2.269,50.931,4.568,1.156,6.821
2026-01-27T15:15:15.213450,timing-v2-test,timing-v2-test:서울대 물리학과:1769494515,42.747,2.581,36.138,3.667,0.359,6.223
2026-01-27T15:16:10.621054,timing-v3-test,timing-v3-test:국어 1등급 수학 1등급 탐구 1등급으로 서울대 경영학:1769494570,24.903,3.133,17.793,3.896,0.079,7.022
2026-01-27T15:19:48.840427,session-1769494787607,session-1769494787607:서울대 물리학과:1769494788,22.092,2.672,16.56,2.778,0.081,5.426
2026-01-27T15:21:02.606467,584db9b5-28f7-475b-82c7-fda1663070ce,584db9b5-28f7-475b-82c7-fda1663070ce:23123 대학 추천:1769494862,12.436,3.153,5.047,4.159,0.075,7.299
2026-01-27T17:04:24.312647,session-1769495519030,session-1769495519030:12212대학 추천:1769501064,7.64,1.944,2.312,3.249,0.133,5.182
2026-01-28T07:29:55.290004,session-1769583717594,session-1769583717594:안녕:1769585395,4.232,1.618,0.0,1.118,1.494,2.668
2026-01-29T08:23:38.569998,session-1769675007071,session-1769675007071:경희대 빅데이터응용학과 모집인원:1769675018,30.439,2.21,26.069,1.854,0.305,3.956
2026-01-29T09:11:14.136683,session-1769677870095,session-1769677870095:백분위 95%면 어느 대학 갈 수 있어?:1769677874,13.93,1.899,6.591,4.885,0.554,6.737
2026-01-29T09:13:55.176826,session-1769678028550,session-1769678028550:경희대 모집요강:1769678035,29.772,1.548,23.579,4.226,0.418,5.713
2026-01-29T09:42:32.415219,session-1769679741287,session-1769679741287:나 23321인데 어디 갈 수 있을까?:1769679752,18.47,2.936,11.613,3.68,0.24,6.601
